"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"book graphic tee",5,1,20,55446,"100","2","16",110
"book shelves fabric",0,0,0,65,"","2","19","N/A"
"fun book sayings",0,0,0,0,"","2","16","N/A"
"cute book shirts",0,0,0,28196,"","2","16","N/A"
"book lover gifted",0,0,0,2340,"","2","17","N/A"
"for book lovers",0,0,0,135794,"","1","15","N/A"
"fantasy book lover",5,1,20,64954,"100","1","18","N/A"
"murder mystery book",2,0,0,3953,"100","1","19","N/A"
"academic book bag",0,0,0,0,"","1","17","N/A"
"book stack tote",0,0,0,255,"","1","15","N/A"
"book lover mom",0,0,0,33807,"","1","14","N/A"
"summer book lover",0,0,0,12023,"","1","17","N/A"
"anti social book",0,0,0,4180,"","1","16","N/A"
"gothic book tee",0,0,0,8498,"","1","15","N/A"
"book nerd png",0,0,0,3836,"","1","13","N/A"
"book girl shirt",3,0,0,26782,"100","1","15",0
"kids book game",0,0,0,28739,"","1","14","N/A"
"book lover game",0,0,0,5440,"","1","15","N/A"
"book party game",1,0,0,15631,"100","1","15","N/A"
"bookworm book lover",0,0,0,109957,"","1","19","N/A"
"book birthday party",2,0,0,48557,"100","1","19",590
"book lover craft",1,0,0,32199,"100","1","16","N/A"
"book girl png",0,0,0,9825,"","1","13","N/A"
"belle book png",0,0,0,118,"","1","14","N/A"
"disney book png",0,0,0,206,"","1","15","N/A"
"belle book gift",0,0,0,0,"","1","15","N/A"
"gifts love book",0,0,0,0,"","1","15","N/A"
"book discussion game",0,0,0,0,"","1","20","N/A"
"book reading shirt",2,0,0,138988,"100","1","18","N/A"
"funny book gift",0,0,0,85815,"","1","15","N/A"
"book wine glass",3,0,0,1265,"100","1","15",70
"romance book reader",1,0,0,45975,"100","1","19","N/A"
"princess book dtf",0,0,0,0,"","1","17","N/A"
"book lover crew",0,0,0,32076,"","1","15","N/A"
"trendy book crew",0,0,0,0,"","1","16","N/A"
"book tok bookish",0,0,0,0,"","1","16","N/A"
"tired girls book",0,0,0,0,"","1","16","N/A"
"girls book shirt",1,0,0,18214,"100","1","16",0
"book doodle shirt",0,0,0,1065,"","1","17","N/A"
"book halloween png",1,0,0,13339,"100","1","18","N/A"
"reading book shirt",1,0,0,97018,"100","1","18","N/A"
"funny book shirt",6,1,17,66769,"100","1","16",170
"floral book shirt",2,0,0,14317,"100","1","17","N/A"
"custom book shirt",3,0,0,7122,"100","1","17","N/A"
"vintage book shirt",2,0,0,28514,"100","1","18",0
"book tok merch",0,0,0,883,"","1","14","N/A"
"book event flyer",0,0,0,0,"","1","16","N/A"
"diy book invite",0,0,0,0,"","1","15","N/A"
"book tumbler 40oz",3,0,0,0,"","1","17",0
"tumbler book lover",0,0,0,19152,"","1","18","N/A"
"tumbler book nerd",0,0,0,0,"","1","17","N/A"
"book lover tumbler",8,1,13,19293,"100","1","18",50
"vintage book tee",0,0,0,14510,"","1","16","N/A"
"introvert book shirt",0,0,0,3123,"","1","20","N/A"
"nostalgic book shirt",0,0,0,0,"","1","20","N/A"
"fun book saying",0,0,0,0,"","1","15","N/A"
"macabre book lover",0,0,0,0,"","1","18","N/A"
"cute book printable",0,0,0,35766,"","1","19","N/A"
"book stack painting",0,0,0,876,"","1","19","N/A"
"belle book tee",0,0,0,635,"","1","14","N/A"
"aesthetic book tee",0,0,0,4319,"","1","18","N/A"
"book trope shirt",0,0,0,1824,"","1","16","N/A"
"introvert book tee",0,0,0,0,"","1","18","N/A"
"book nerd tee",0,0,0,22008,"","1","13","N/A"
"fantasy book shirt",5,0,0,25983,"100","1","18","N/A"
"romantasy book shirt",0,0,0,11416,"","1","20","N/A"
"gift for book lovers",591,587,99,143335,"100","2","20",18100
"book lover t shirt",6,1,17,145084,"100","1","18",720
"book of the month",2,0,0,9569,"100","1","17","N/A"
"gift for book lover",0,0,0,538875,"","2","19",18100
"gay mm romance book",0,0,0,0,"","2","19","N/A"
"anti social book clu",0,0,0,3,"","1","20","N/A"
"night owl book clubs",0,0,0,0,"","1","20","N/A"
"book lover owl tees2",0,0,0,0,"","1","20","N/A"
"gifts for book clubs",0,0,0,100272,"","1","20","N/A"
"stickers",74080,95911,129,3334614,"83","1","8",246000
"gift",66326,83911,127,33152946,"100","2","4",450000
"personalized gift",63547,67269,106,5573446,"97","4","17",110000
"tote bag",20433,25564,125,742437,"78","2","8",301000
"bag",20298,28125,139,3591178,"100","1","3",135000
"dog",17136,24271,142,2453579,"100","1","3",2740000
"funny shirt",11484,14032,122,3262906,"100","1","11",27100
"birthday invitation",9735,6872,71,893844,"98","1","19",49500
"halloween png",9498,12341,130,489210,"86","1","13",3600
"pdf",8835,11637,132,2630555,"100","1","3",450000
"christmas sweatshirt",8724,12146,139,1106771,"100","1","20",14800
"teacher shirt",8536,9745,114,778101,"98","3","13",9900
"baby gift",8550,8692,102,2515397,"100","1","9",22200
"skull",8209,10644,130,712521,"97","1","5",301000
"trucker hat",7105,8244,116,449675,"90","1","11",90500
"teacher shirts",6953,8546,123,778154,"100","1","14",9900
"fourth wing",6713,7759,116,31542,"34","2","11",201000
"comfort colors",6341,7231,114,1691430,"100","4","14",60500
"baby clothes",6234,7251,116,469049,"94","1","12",110000
"dark academia",6157,6794,110,200106,"76","2","13",49500
"teacher gift",6113,5936,97,1484871,"100","2","12",22200
"junk journal",5951,7332,123,523443,"97","1","12",40500
"scrapbook",5587,6861,123,5008910,"100","1","9",110000
"pen",5405,6617,122,317525,"88","1","3",135000
"sticker pack",5219,6591,126,139408,"71","1","12",6600
"bookish",5012,5516,110,490434,"100","10","7",49500
"tote",4970,6121,123,775887,"100","2","4",90500
"graphic tee",4876,4868,100,2682562,"100","1","11",246000
"comfort colors shirt",4186,5361,128,1651262,"100","5","20",14800
"sublimation designs",4079,2992,73,643994,"100","4","19",1600
"mom gift",4057,4298,106,3488374,"100","1","8",14800
