"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"dance parent shirt",0,0,0,0,"","1","18","N/A"
"dance cut file",0,0,0,0,"","1","14","N/A"
"dance team tank top",3,0,0,0,"","1","19","N/A"
"in my dance era",3,0,0,0,"","1","15","N/A"
"for dance fan shirt",0,0,0,0,"","1","19","N/A"
"for dance season tee",0,0,0,0,"","1","20","N/A"
"svg cut file dance",0,0,0,0,"","1","18","N/A"
"gift for dance lover",0,0,0,0,"","1","20","N/A"
"dance team name tag",0,0,0,0,"","1","19","N/A"
"in my dance era svg",3,0,0,0,"","1","19","N/A"
"in my dance crop top",0,0,0,0,"","1","20","N/A"
"shirt",72868,95770,131,0,"","1","5","N/A"
"personalized gift",63547,67269,106,0,"","1","17","N/A"
"custom",30642,39035,127,0,"","1","6","N/A"
"personalized",28019,30066,107,0,"","1","12","N/A"
"gift for her",26857,26267,98,0,"","2","12","N/A"
"png",25913,33134,128,0,"","1","3","N/A"
"patches",19628,25098,128,0,"","1","7","N/A"
"svg",16491,19716,120,0,"","1","3","N/A"
"digital download",15593,18870,121,0,"","3","16","N/A"
"hat",14592,19461,133,0,"","1","3","N/A"
"funny shirt",11484,14032,122,0,"","1","11","N/A"
"custom shirt",10761,11296,105,0,"","1","12","N/A"
"mothers day gift",10475,10827,103,0,"","12","16","N/A"
"fathers day",9819,9215,94,0,"","1","11","N/A"
"heart",9205,13173,143,0,"","1","5","N/A"
"mama shirt",8798,10937,124,0,"","3","10","N/A"
"bumper sticker",8324,9083,109,0,"","1","14","N/A"
"crystal",7530,9470,126,0,"","1","7","N/A"
"svg files",7498,8989,120,0,"","1","9","N/A"
"baseball",6588,7287,111,0,"","1","8","N/A"
"comfort colors",6341,7231,114,0,"","2","14","N/A"
"christmas gift",6102,6792,111,0,"","1","14","N/A"
"custom sweatshirt",5771,5863,102,0,"","3","17","N/A"
"custom patch",5713,8005,140,0,"","1","12","N/A"
"custom hoodie",4589,4877,106,0,"","1","13","N/A"
"iron on patch",4439,5279,119,0,"","1","13","N/A"
"large wall art",4314,4649,108,0,"","1","14","N/A"
"cheer",4354,5680,130,0,"","1","5","N/A"
"car decal",4288,4463,104,0,"","1","9","N/A"
"comfort colors shirt",4186,5361,128,0,"","5","20","N/A"
"embroidered hat",3468,4668,135,0,"","1","15","N/A"
"tee",3401,4002,118,0,"","1","3","N/A"
"sublimation",3318,3066,92,0,"","2","11","N/A"
"poster prints",3075,2920,95,0,"","1","13","N/A"
